datetime,low,high,open,close,volumefrom,volumeto,close_12_ema,close_26_ema,macd,macds,macdh
2017-12-20 01:00:00,6300.0,9500.0,9000.0,9500.0,24.28,202495.4,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 02:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 03:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 04:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 05:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 06:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 07:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 08:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 09:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 10:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 11:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 12:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 13:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 14:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 15:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 16:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 17:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 18:00:00,9500.0,9500.0,9500.0,9500.0,0.0,0.0,9500.0,9500.0,0.0,0.0,0.0
2017-12-20 19:00:00,3300.03,9500.0,9500.0,3440.15,23986.61,90261690.3,8527.010602730405,8915.742774626018,-388.73217189561365,-78.88326199293765,-619.697819805352
2017-12-20 20:00:00,3161.69,3600.0,3440.15,3552.13,10969.78,37278563.87,7733.557178869301,8409.913322433678,-676.3561435643769,-199.77158578882702,-953.1691155510998
2017-12-20 21:00:00,3552.01,4200.0,3552.13,4050.0,15698.61,59542504.3,7149.357722851276,8006.894842630798,-857.5371197795221,-332.5493513166514,-1049.9755369257414
2017-12-20 22:00:00,3715.48,4489.0,4050.0,3825.93,21908.85,88910102.04,6624.7655756021295,7627.386850721554,-1002.6212751194244,-467.5599383758953,-1070.1226734870581
2017-12-20 23:00:00,3607.49,3849.93,3825.93,3746.84,7024.71,26157048.37,6172.304576356092,7280.932457353071,-1108.627880996979,-596.5348604615973,-1024.1860410707634
2017-12-21 00:00:00,3512.57,3749.96,3746.84,3570.13,4993.82,18087903.68,5764.571244605592,6954.595000581926,-1190.0237559763336,-715.7958335867452,-948.4558447791769
2017-12-21 01:00:00,3405.0,3650.0,3570.13,3644.99,4068.95,14336950.42,5433.39683244994,6667.521152805257,-1234.1243203553167,-819.8546540492588,-828.5393326121159
2017-12-21 02:00:00,3493.9,3661.94,3644.99,3493.95,3115.51,11134492.49,5131.0928026640095,6395.689718819633,-1264.5969161556231,-909.0727516248718,-711.0483290615027
2017-12-21 03:00:00,3450.0,3585.84,3493.95,3450.02,2768.19,9713213.93,4869.591428720943,6146.267600447109,-1276.6761717261652,-982.7716285956236,-587.8090862610832
2017-12-21 04:00:00,3401.0,3486.59,3450.02,3411.0,2855.9,9812150.25,4643.085767535959,5917.090404070789,-1274.0046365348298,-1041.1311138451247,-465.74704537941034
2017-12-21 05:00:00,3406.01,3558.96,3411.0,3470.0,2109.92,7354543.34,4461.179245392486,5714.0305363741145,-1252.8512909816282,-1083.5407750444895,-338.6210318742774
2017-12-21 06:00:00,3402.0,3476.07,3470.0,3437.38,1182.88,4057601.36,4302.615621445441,5526.781440202013,-1224.1658187565718,-1111.700644016207,-224.93034948072955
2017-12-21 07:00:00,3306.0,3437.38,3437.38,3326.3,1734.56,5847451.04,4151.561961391238,5347.26436288022,-1195.702401488982,-1128.5176502670652,-134.36950244383388
2017-12-21 08:00:00,3254.0,3495.98,3326.3,3427.23,1779.72,6008550.55,4039.5923517950823,5191.793468012287,-1152.2011162172048,-1133.2580992276994,-37.88603397901079
2017-12-21 09:00:00,3409.42,3497.37,3427.23,3444.86,340.42,1175426.17,3947.7243929661836,5051.308261166428,-1103.583868200244,-1127.3194889807864,47.47124156108475
2017-12-21 10:00:00,3430.0,3650.0,3444.86,3586.0,1221.79,4350697.33,3891.883840652529,4934.213700455885,-1042.3298598033562,-1110.3129398003898,135.9661599940673
2017-12-21 11:00:00,3523.0,3600.0,3586.0,3530.0,493.36,1758858.43,3836.0481019396407,4822.652478567045,-986.6043766274047,-1085.5611866618817,197.91362006895406
2017-12-21 12:00:00,3480.09,3554.94,3530.0,3554.94,503.24,1765305.59,3792.694727748659,4722.4742301351125,-929.7795023864537,-1054.3947357152124,249.23046665751735
2017-12-21 13:00:00,3366.0,3554.94,3554.94,3383.09,934.16,3216124.38,3729.548005878742,4617.153484279141,-887.6054784003986,-1021.0282218099832,266.8454868191691
2017-12-21 14:00:00,3255.0,3444.86,3383.09,3255.0,1678.9,5589932.53,3656.412622651884,4510.528478373164,-854.1158557212802,-987.6388138835273,267.0459163244941
2017-12-21 15:00:00,2910.0,3293.59,3255.0,2952.04,7141.89,22176452.85,3547.8868886712285,4389.045557370034,-841.1586686988053,-958.3379163999282,234.3584954022458
2017-12-21 16:00:00,2950.0,3190.0,2952.04,3135.03,4470.68,13772247.1,3484.290754222462,4291.673384068832,-807.38262984637,-928.1428454758557,241.52043125897126
2017-12-21 17:00:00,2910.0,3141.63,3135.03,3032.37,2957.92,8914103.09,3414.690688431316,4194.238872756933,-779.5481843256171,-898.420752650778,237.7451366503219
